STT,漢字,音（漢越）,読み方,意味,
4704,愛護,ÁI HỘ,あいご,yêu thương và bảo vệ,
4705,愛想,ÁI TƯỞNG,あいそ,"có cảm tình, làm người khác vui, ý tốt",
4706,愛着,ÁI TRỨ,あいちゃく,"gắn bó, quyến luyến",
4707,親愛,THÂN ÁI,しんあい,"yêu mến, quý mến",
4708,愛用,ÁI DỤNG,あいよう,"thích dùng, ưa dùng",
4709,敬愛,KÍNH ÁI,けいあい,"kính yêu, yêu thương kính trọng",
4710,恋愛,LUYẾN ÁI,れんあい,tình yêu,
4711,未開,VỊ KHAI,みかい,"chưa khai hóa, hoang dã, không văn minh",
4712,開演,KHAI DIỄN,かいえん,mở màn biểu diễn,
4713,開館,KHAI QUÁN,かいかん,"mở cửa kinh doanh, khai trương",
4714,開業,KHAI NGHIỆP,かいぎょう,"khởi nghiệp, bắt đầu kinh doanh",
4715,開校,KHAI HIỆU,かいこう,"khai giảng, tựu trường",
4716,開催,KHAI THÔI,かいさい,tổ chức,
4717,開示,KHAI THỊ,かいじ,"công khai, phơi bày, tiết lộ",
4718,開場,KHAI TRƯỜNG,かいじょう,mở cửa hội trường,
4719,開戦,KHAI CHIẾN,かいせん,khai chiến,
4720,開拓,KHAI THÁC,かいたく,khai phá,
4721,開店,KHAI ĐIẾM,かいてん,mở cửa tiệm,
4722,開発,KHAI PHÁT,かいはつ,"khai phát, phát triển",
4723,開封,KHAI PHONG,かいふう,"mở bao thư, thư bị mở",
4724,開閉,KHAI BẾ,かいへい,đóng mở,
4725,開放,KHAI PHÓNG,かいほう,"mở cửa, để mặc",
4726,開幕,KHAI MẠC,かいまく,khai mạc,
4727,公開,CÔNG KHAI,こうかい,công khai,
4728,打開,ĐẢ KHAI,だかい,"công phá, vượt qua",
4729,展開,TRIỂN KHAI,てんかい,triển khai,
4730,改悪,CẢI ÁC,かいあく,thay đổi làm xấu đi,
4731,改革,CẢI CÁCH,かいかく,cải cách,
4732,改行,CẢI HÀNH,かいぎょう,xuống dòng,
4733,改修,CẢI TU,かいしゅう,"sửa sang, cải tiến, nâng cấp",
4734,改選,CẢI TUYỂN,かいせん,chọn lựa lại,
4735,改善,CẢI THIỆN,かいぜん,cải thiện,
4736,改築,CẢI TRÚC,かいちく,xây lại,
4737,改定,CẢI ĐỊNH,かいてい,"sửa đổi (chế độ, quy định)"
4738,改訂,CẢI ĐÍNH,かいてい,cải chính,
4739,改良,CẢI LƯƠNG,かいりょう,"cải thiện, cải tiến",
4740,厄介,ÁCH GIỚI,やっかい,"phiền toái, rắc rối",
4741,介護,GIỚI HỘ,かいご,chăm sóc,
4742,介在,GIỚI TẠI,かいざい,"chen giữa, can gián",
4743,介入,GIỚI NHẬP,かいにゅう,can thiệp,
4744,介抱,GIỚI BÃO,かいほう,"chăm sóc, chăm nom",
4745,媒介,MÔI GIỚI,ばいかい,"môi giới, làm trung gian",
4746,概念,KHÁI NIỆM,がいねん,khái niệm,
4747,概要,KHÁI YẾU,がいよう,"khái quát, nội dung chính",
4748,概略,KHÁI LƯỢC,がいりゃく,"tóm lược, sơ lược",
4749,概論,KHÁI LUẬN,がいろん,khái quát,
4750,一概,NHẤT KHÁI,いちがい,"theo lệ thường, tuyệt đối, quả quyết",
4751,大概,ĐẠI KHÁI,たいがい,"bao quát, nhìn chung",
4752,概算,KHÁI TOÁN,がいさん,ước tính sơ bộ,
4753,概説,KHÁI THUYẾT,がいせつ,"khái quát, miêu tả chung, tổng quan",
4754,害悪,HẠI ÁC,がいあく,vật xấu gây hại,
4755,害虫,HẠI TRÙNG,がいちゅう,"sâu hại, côn trùng gây hại",
4756,害毒,HẠI ĐỘC,がいどく,độc hại,
4757,危害,NGUY HẠI,きがい,nguy hại,
4758,災害,TAI HẠI,さいがい,"thảm họa, tai họa",
4759,傷害,THƯƠNG HẠI,しょうがい,làm bị thương,
4760,損害,TỔN HẠI,そんがい,tổn hại,
4761,利害,LỢI HẠI,りがい,lời và lỗ,
4762,冷害,LÃNH HẠI,れいがい,thiệt hại do thời tiết lạnh,
4763,殺害,SÁT HẠI,さつがい,"sát hại, giết",
4764,迫害,BÁCH HẠI,はくがい,"khủng bố, đàn áp, áp bức",
4765,妨害,PHƯƠNG HẠI,ぼうがい,"phương hại, cản trở",
4766,形見,HÌNH KIẾN,かたみ,kỉ vật,
4767,形式,HÌNH THỨC,けいしき,hình thức,
4768,形勢,HÌNH THẾ,けいせい,tình thế,
4769,形跡,HÌNH TÍCH,けいせき,"vết tích, dấu vết",
4770,形態,HÌNH THÁI,けいたい,hình thể,
4771,外形,NGOẠI HÌNH,がいけい,hình dáng bên ngoài,
4772,髪形,PHÁT HÌNH,かみがた,kiểu tóc,
4773,図形,ĐỒ HÌNH,ずけい,"sơ đồ, biểu đồ",
4774,定形,ĐỊNH HÌNH,ていけい,hình dạng nhất định,
4775,形成,HÌNH THÀNH,けいせい,"tạo hình, hình thành",
4776,再三,TÁI TAM,さいさん,"ba lần bảy lượt, nhiều lần",
4777,再度,TÁI ĐỘ,さいど,lần nữa,
4778,再犯,TÁI PHẠM,さいはん,tái phạm,
4779,再会,TÁI HỘI,さいかい,gặp lại,
4780,再開,TÁI KHAI,さいかい,"bắt đầu lại, khởi động lại",
4781,再起,TÁI KHỞI,さいき,"bình phục, khôi phục",
4782,再建,TÁI KIẾN,さいけん,xây dựng lại,
4783,再現,TÁI HIỆN,さいげん,"tái hiện, xuất hiện lần nữa",
4784,再考,TÁI KHẢO,さいこう,suy nghĩ lại lần nữa,
4785,再生,TÁI SINH,さいせい,"tái sinh, sống trở lại",
4786,再発,TÁI PHÁT,さいはつ,tái phát,
4787,再編,TÁI BIÊN,さいへん,tái tổ chức lại,
4788,再来,TÁI LAI,さいらい,lại đến nữa,
4789,制裁,CHẾ TÀI,せいさい,chế tài,
4790,制服,CHẾ PHỤC,せいふく,đồng phục,
4791,体制,THỂ CHẾ,たいせい,thể chế,
4792,週休二日制,CHU HƯU NHỊ NHẬT CHẾ,しゅうきゅうふつかせい,chế độ nghỉ 2 ngày / tuần,
4793,制御,CHẾ NGỰ,せいぎょ,"chế ngự, kiềm chế",
4794,制限,CHẾ HẠN,せいげん,"hạn chế, giới hạn",
4795,製作,CHẾ TÁC,せいさく,chế tác,
4796,制止,CHẾ CHỈ,せいし,"ngăn chặn, cản trở",
4797,制定,CHẾ ĐỊNH,せいてい,"thiết lập, ban hành",
4798,制覇,CHẾ BÁ,せいは,"vượt trội, vô địch, thống trị",
4799,制約,CHẾ ƯỚC,せいやく,"ràng buộc, hạn chế, giới hạn",
4800,規制,QUY CHẾ,きせい,quy chế,
4801,強制,CƯỜNG CHẾ,きょうせい,"cưỡng chế, bắt ép",
4802,統制,THỐNG CHẾ,とうせい,"thống trị, điều khiển, cai quản",
4803,抑制,ỨC CHẾ,よくせい,"ức chế, kiềm nén",
4804,成果,THÀNH QUẢ,せいか,thành quả,
4805,成年,THÀNH NIÊN,せいねん,tuổi trưởng thành,
4806,成否,THÀNH PHỦ,せいひ,thành bại,
4807,成分,THÀNH PHÂN,せいぶん,thành phần,
4808,未完成,VỊ HOÀN THÀNH,みかんせい,chưa hoàn thành,
4809,成育,THÀNH DỤC,せいいく,"lớn lên, trưởng thành",
4810,成功,THÀNH CÔNG,せいこう,thành công,
4811,成熟,THÀNH THỤC,せいじゅく,"trưởng thành, chín muồi, thành thục",
4812,成立,THÀNH LẬP,せいりつ,thành lập,
4813,成就,THÀNH TỰU,じょうじゅ,thành tựu,
4814,育成,DỤC THÀNH,いくせい,"nuôi nấng, bồi dưỡng, dạy dỗ",
4815,形成,HÌNH THÀNH,けいせい,"tạo hình, hình thành",
4816,結成,KẾT THÀNH,けっせい,"lập thành (tổ chức, đoàn thể)"
4817,作成,TÁC THÀNH,さくせい,"tạo ra (bản kế hoạch, tài liệu...)",
