STT,漢字,音（漢越）,読み方,意味,
7898,ショー,-,ショー,buổi biểu diễn,
7899,デマ（ゴギー）,-,デマ（ゴギー）,"tin vịt, tin đồn nhảm",
7900,デモ（ンストレーション）,-,デモ（ンストレーション）,diễu hành,
7901,テロ（リズム）,-,テロ（リズム）,khủng bố,
7902,ノブ,-,ノブ,quả đấm (ở cửa | tủ…)
7906,ロス,-,ロス,lỗ,
7907,アート,-,アート,nghệ thuật,
7908,オート,-,オート,tự động,
7909,ケース,-,ケース,"trường hợp, hộp",
7910,シール,-,シール,dấu niêm phong,
7912,ジョーク,-,ジョーク,lời nói đùa,
7913,ショート,-,ショート,ngắn,
7915,セール,-,セール,bán hàng,
7918,トーン,-,トーン,sắc điệu,
7920,ハード,-,ハード,phần cứng (máy tính),
7921,ピーク,-,ピーク,"điểm cao nhất, đỉnh núi",
7922,ブーム,-,ブーム,"tăng vọt (giá cả), phất lên (buôn bán)",
7924,ベース,-,ベース,"nền tảng, cơ sở",
7925,ベール,-,ベール,"mạng che mặt, trướng, màn",
7926,ホース,-,ホース,"vòi, ống dẫn nước; ngựa",
7927,ポーズ,-,ポーズ,"tạm dừng, tư thế (chụp ảnh), kiểu",
7928,マーク,-,マーク,dấu hiệu,
7929,ムード,-,ムード,tâm trạng,
7930,モード,-,モード,"kiểu, mốt, phương pháp, hình thức",
7931,リード,-,リード,dẫn dắt,
7932,ルート,-,ルート,"đường đi, lộ trình",
7935,レース,-,レース,"chủng người, loài, cuộc đua",
7936,レール,-,レール,đường ray,
7937,ロープ,-,ロープ,"dây cáp, dây thừng",
7939,エラー,-,エラー,lỗi,
7940,タブー,-,タブー,điều cấm kị,
7941,タワー,-,タワー,tòa tháp,
7943,デビュー,-,デビュー,lần trình diễn đầu tiên (của diễn viên),
7945,ブザー,-,ブザー,"còi (nhà máy), kèn chuông (điện)",
7947,マネー,-,マネー,tiền,
7948,レバー,-,レバー,đòn bẩy,
7949,アップ,-,アップ,tăng lên,
7951,キャッチ,-,キャッチ,"nắm bắt, bắt bóng",
7952,ギャップ,-,ギャップ,"khoảng cách, chỗ thiếu sót",
7953,ショック,-,ショック,cú sốc,
7954,タッチ,-,タッチ,cú chạm,
7955,ネック,-,ネック,"cổ, chỗ thắt lại",
7957,バッグ,-,バッグ,túi xách,
7958,ヒット,-,ヒット,"cú hít, đam mê",
7960,ジャンプ,-,ジャンプ,bước nhảy,
7961,ジャンル,-,ジャンル,thể loại,
7962,センス,-,センス,"khiếu, gu",
7963,タンク,-,タンク,"thùng, bể, xe tăng",
7964,チェンジ,-,チェンジ,"thay đổi, tiền lẻ",
7965,パンク,-,パンク,bể bánh xe,
7966,ピンチ,-,ピンチ,lúc túng quẫn,
7968,フェンス,-,フェンス,hàng rào,
7969,ポンプ,-,ポンプ,ống bơm,
7970,ランク,-,ランク,xếp hạng,
7971,ランプ,-,ランプ,đèn,
7972,ロング,-,ロング,"dài, váy dài, tóc dài",
7974,ダウン,-,ダウン,"giảm xuống, đổ quỵ, không hoạt động",
7976,ライン,-,ライン,"đường thẳng, hàng",
7977,ディスク,-,ディスク,"đĩa, vật hình đĩa",
7978,デスク,-,デスク,bàn giấy,
7980,クイズ,-,クイズ,cuộc thi đố,
7982,ギフト,-,ギフト,quà tặng,
7983,ゲスト,-,ゲスト,"khách, khách mời",
7985,ジャスト,-,ジャスト,vừa đúng (đi với số lượng như thời gian | tiền)
7986,ファイト,-,ファイト,chiến đấu,
7988,ラスト,-,ラスト,cuối cùng,
7991,サイド,-,サイド,"cạnh bên, phụ",
7992,ライフ,-,ライフ,cuộc sống,
7994,コラム,-,コラム,"cột, mục báo",
7996,チャイム,-,チャイム,tiếng chuông,
7997,スペル,-,スペル,đánh vần,
7998,スリル,-,スリル,hồi hộp,
8001,ペダル,-,ペダル,bàn đạp,
8002,ボトル,-,ボトル,chai,
8003,メダル,-,メダル,huy chương,
8004,ラベル,-,ラベル,nhãn dán,
8006,エリア,-,エリア,khu vực,
8008,スコア,-,スコア,điểm số,
8009,ストア,-,ストア,cửa tiệm,
8010,スペア,-,スペア,dự trữ,
8011,メディア,-,メディア,phương tiện truyền thông,
8013,エキス,-,エキス,chiết xuất,
8014,カルテ,-,カルテ,hồ sơ bệnh án,
8015,レジュメ,-,レジュメ,"bản tóm tắt, hồ sơ cá nhân",
8017,エリート,-,エリート,"tinh nhuệ, (giai cấp) ưu tú, cao cấp",
8018,ガレージ,-,ガレージ,ga-ra,
8019,グレード,-,グレード,"tầng lớp, giai cấp",
8021,スクープ,-,スクープ,tin sốt dẻo,
8022,スケール,-,スケール,"quy mô, đĩa cân, mặt chia độ, thang âm",
8024,ダメージ,-,ダメージ,thiệt hại,
8025,ディベート,-,ディベート,"tranh luận, thảo luận",
8027,トレード,-,トレード,"buôn bán, thương mại",
8029,モチーフ,-,モチーフ,môtip,
8030,リコール,-,リコール,"gọi về, triệu hồi",
8031,リフォーム,-,リフォーム,"cải cách, làm lại, cải tổ",
8035,オーバー,-,オーバー,"áo khoác, vượt quá",
8037,ヒーター,-,ヒーター,lò sưởi,
8038,ヒーロー,-,ヒーロー,"anh hùng, nhân vật nam chính",
8039,メーカー,-,メーカー,nhà sản xuất,
8041,レーダー,-,レーダー,máy ra-đa,
8043,ケーブル,-,ケーブル,cáp,
8045,トータル,-,トータル,tổng cộng,
8048,カルチャー,-,カルチャー,văn hóa,
8049,ギャラリー,-,ギャラリー,thư viện ảnh,
8050,ジェスチャー,-,ジェスチャー,"cử chỉ, điệu bộ",
8051,スプレー,-,スプレー,"bình phun, chai xịt",
8053,パトカー,-,パトカー,xe tuần tra,
8060,レギュラー,-,レギュラー,thường xuyên,
8061,エッセイ,-,エッセイ,bài luận,
8066,レッテル,-,レッテル,"nhãn hiệu, cái mác (đánh giá)",
8067,コミック,-,コミック,truyện tranh,
8068,サミット,-,サミット,thượng đỉnh,
8069,ステップ,-,ステップ,bước,
8071,トリック,-,トリック,trò bịp,
8072,マジック,-,マジック,ảo thuật,
8073,メリット,-,メリット,ưu điểm,
8074,リセット,-,リセット,"lắp đặt lại, cài lại",
8075,ロボット,-,ロボット,rô-bốt,
